instance_name,X_0,X_1,X_2,X_3,X_4,X_5,X_6,X_7,action_1,action_2,epsilon,X_0,X_1,X_2,X_3,X_4,X_5,X_6,X_7
dubinsrejoin_case_safe_0.vnnlib,-0.07363293859864659952,0.19469125193023273379,-0.56519762228548264815,0.10323546068735954540,0.49999999999999988898,0.00000000000000004163,0.32498538038295438080,-0.37997960805462499545,0,4,0.1,0,0,0,0,0,0,0,0
dubinsrejoin_case_safe_1.vnnlib,-0.07363293859864661339,0.19469125193023273379,-0.56519762228548264815,0.10323546068735955927,0.49999999999999983347,0.00000000000000004163,0.32498538038295438080,-0.37997960805462499545,0,4,0.1,0,0,0,0,0,0,0,0
dubinsrejoin_case_safe_10.vnnlib,-0.03461946895673485847,-0.30683922824600984303,-0.47351959370157314932,-0.54635265271104627161,0.50000000000000000000,0.00000000000000000000,0.42687477250654110028,-0.26034194552067235762,0,4,0.1,0,0,0,0,0,0,0,0
dubinsrejoin_case_safe_12.vnnlib,-0.30131731818962803615,0.39900861364012013555,0.00000000000000000000,0.00000000000000000000,-0.90992272260193041156,0.00000000000000000000,-0.40606036725711625035,0.21929991581947202994,3,7,0.1,0,0,0,0,0,0,0,0
dubinsrejoin_case_safe_13.vnnlib,-0.16323373153374104438,-0.55240452109030246941,-0.61744815271367348153,-0.34338476223439362567,0.50000000000000000000,0.00000000000000000000,0.05068068974289267892,-0.54745104956986856415,0,4,0.1,0,0,0,0,0,0,0,0
dubinsrejoin_case_safe_14.vnnlib,-0.30131731818962803615,0.39900861364012013555,0.00000000000000000000,0.00000000000000000000,-0.90992272260193041156,0.00000000000000000000,-0.40606036725711619484,0.21929991581947202994,3,7,0.1,0,0,0,0,0,0,0,0
dubinsrejoin_case_safe_15.vnnlib,0.35355339059327367535,-0.35355339059327367535,0.00000000000000000000,0.00000000000000000000,0.21765587972365879610,0.00000000000000001388,0.74789700964447991538,-0.51851616647479881195,0,7,0.1,1,0,1,0,1,0,0,1
dubinsrejoin_case_safe_16.vnnlib,0.16399509231212502924,-0.30307281189447543568,-0.31837358589596648217,-0.17146559976771602596,0.50000000000000000000,0.00000000000000002776,0.12720915008102592902,-0.48354713538150861929,0,4,0.1,0,0,0,0,0,0,0,0
dubinsrejoin_case_safe_17.vnnlib,0.13751439369857512696,-0.28369652855700311367,-0.32807959242095258157,-0.10142683801759222462,0.50000000000000000000,0.00000000000000005551,0.07494681071270528627,-0.49435106509847215328,0,4,0.1,0,0,0,0,0,0,0,0
dubinsrejoin_case_safe_3.vnnlib,-0.30131731818962803615,0.39900861364012013555,0.00000000000000000000,0.00000000000000000000,-0.90992272260193030053,0.00000000000000000000,-0.40606036725711619484,0.21929991581947202994,3,7,0.1,0,0,0,0,0,0,0,0
dubinsrejoin_case_safe_6.vnnlib,-0.30131731818962803615,0.39900861364012013555,0.00000000000000000000,0.00000000000000000000,-0.90992272260193030053,0.00000000000000000000,-0.40606036725711619484,0.21929991581947200219,3,7,0.1,0,0,0,0,0,0,0,0
dubinsrejoin_case_unsafe_11.vnnlib,0.05865353133010420272,0.35936664359259612445,-0.44132431211018707806,0.35465962024501473948,0.50000000000000000000,-0.00000000000000004163,0.25406532351535920933,-0.43064000207486047289,0,4,0.1,0,0,0,0,0,0,0,0
dubinsrejoin_case_unsafe_18.vnnlib,0.13751439369857512696,-0.28369652855700311367,-0.32807959242095258157,-0.10142683801759222462,0.50000000000000000000,0.00000000000000005551,0.07494681071270528627,-0.49435106509847215328,0,4,0.1,0,0,0,0,0,0,0,0
dubinsrejoin_case_unsafe_19.vnnlib,-0.46700977855260744631,-0.92971316991809616059,0.02734056334060501470,-0.85476158908041521833,0.50000000000000000000,-0.00000000000000001388,-0.31208514400583581283,0.39064416403020374435,3,5,0.1,0,1,0,1,1,1,1,1
dubinsrejoin_case_unsafe_2.vnnlib,-0.07363293859864661339,0.19469125193023273379,-0.56519762228548264815,0.10323546068735955927,0.49999999999999988898,0.00000000000000004163,0.32498538038295438080,-0.37997960805462499545,0,4,0.1,0,0,0,0,0,0,0,0
dubinsrejoin_case_unsafe_20.vnnlib,-0.46700977855260744631,-0.92971316991809616059,0.02734056334060501470,-0.85476158908041521833,0.50000000000000000000,-0.00000000000000001388,-0.31208514400583581283,0.39064416403020374435,3,5,0.1,0,1,0,1,1,1,1,1
dubinsrejoin_case_unsafe_21.vnnlib,0.16399509231212505700,-0.30307281189447543568,-0.31837358589596648217,-0.17146559976771602596,0.50000000000000000000,0.00000000000000002776,0.12720915008102592902,-0.48354713538150861929,0,4,0.1,0,0,0,0,0,0,0,0
dubinsrejoin_case_unsafe_22.vnnlib,-0.32924299652377148062,-0.87363583023079616208,0.09762990649414204913,-1.00000000000000000000,0.50000000000000011102,-0.00000000000000006939,0.01202894162666058586,0.49985528362051195872,3,5,0.1,0,1,0,1,1,1,1,1
dubinsrejoin_case_unsafe_23.vnnlib,-0.57718103528698305738,-0.49411752756803084541,-1.00000000000000000000,-0.57863515922756669774,0.50000000000000011102,-0.00000000000000004163,0.31959691705565484998,-0.38452283496369998872,0,4,0.1,0,0,0,0,0,0,0,0
dubinsrejoin_case_unsafe_24.vnnlib,-0.20715979400743406158,-0.63700474670345141881,-0.38943167862655458933,-1.00000000000000000000,0.50000000000000000000,0.00000000000000004163,0.49435141827501150047,0.07494448111425335013,0,4,0.1,0,0,0,0,1,0,1,0
dubinsrejoin_case_unsafe_25.vnnlib,-0.08406303620354470263,-0.40608295959098461569,0.04292495522225887872,0.07752230302889215330,0.50000000000000000000,0.00000000000000001388,-0.48230843854555993655,-0.13182780475963251643,0,5,0.1,0,0,1,0,1,1,1,1
dubinsrejoin_case_unsafe_26.vnnlib,0.05046378114264790660,-0.48263969729433614519,-0.44924558730529817741,-0.49968513907079681324,0.49999999999999994449,-0.00000000000000002776,0.26461646982111658444,-0.42423828669676899583,0,4,0.1,0,0,0,0,0,0,0,0
dubinsrejoin_case_unsafe_27.vnnlib,-0.32924299652377148062,-0.87363583023079616208,0.09762990649414206301,-1.00000000000000000000,0.50000000000000011102,-0.00000000000000006939,0.01202894162666058586,0.49985528362051195872,3,5,0.1,0,1,0,1,1,1,1,1
dubinsrejoin_case_unsafe_28.vnnlib,0.04956305114240230902,-0.46244699227678465192,-0.44060832312920461540,-0.36379597178187161877,0.50000000000000000000,0.00000000000000000000,0.15965139727794819269,-0.47382637257459481184,0,4,0.1,0,0,0,0,0,0,0,0
dubinsrejoin_case_unsafe_29.vnnlib,0.05046378114264792047,-0.48263969729433608968,-0.44924558730529817741,-0.49968513907079681324,0.49999999999999988898,-0.00000000000000002776,0.26461646982111658444,-0.42423828669676899583,0,4,0.1,0,0,0,0,0,0,0,0
dubinsrejoin_case_unsafe_30.vnnlib,-0.17425569072542740345,-0.41649890192822974777,0.23387597829166861807,-0.12765891033197723781,0.50000000000000000000,-0.00000000000000003469,-0.45420860485978459264,0.20903239765961639796,3,5,0.1,0,0,0,0,0,0,1,1
dubinsrejoin_case_unsafe_31.vnnlib,-0.84505126401904018252,-1.00000000000000000000,-1.00000000000000000000,-0.78374862390554722591,0.50000000000000011102,0.00000000000000000000,-0.00260359369823059961,-0.56086542349954748854,0,5,0.1,0,1,1,0,1,0,1,1
